message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.582189378";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.576203972";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.566601667";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.560639453";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.560332012";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.550004328";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.544708320";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.544073435";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.534351391";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.528814204";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.528407343";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.518577433";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.512894017";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.512549936";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.501993160";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.497159395";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.496583190";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.486522382";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.480955863";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.480606467";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.469957966";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.464669744";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.464422317";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.454516392";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.448726784";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.448354899";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.437994989";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.433020692";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.432530455";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.423230787";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.416290619";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.416356955";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.406841505";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.400468760";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.400529296";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.390893427";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim1.sim";"1694358772.384444976";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim2.sim";"1694358772.383894327";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.248889, y=5.544445])";"30";"turtlesim3.sim";"1694358772.374321006";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
